type	time	latitude	longitude	altitude (m)	distance (km)	hr	name	desc
T	2016-11-13 09:51:34	51.430275000	-2.740696000	18.0	0.001	93	Burrington_Coombe_Blagdon_Butcombe_Barrow_Gurney_Belmont	141:34 - 55.3km
T	2016-11-13 09:51:35	51.430273000	-2.740718000	18.0	0.003	90		
T	2016-11-13 09:51:36	51.430263000	-2.740749000	18.0	0.005	89		
T	2016-11-13 09:51:38	51.430220000	-2.740830000	18.0	0.010	90		
T	2016-11-13 09:51:43	51.430099000	-2.741039000	18.0	0.028	90		
T	2016-11-13 09:51:46	51.430021000	-2.741201000	18.0	0.041	93		
T	2016-11-13 09:51:47	51.429996000	-2.741254000	18.0	0.046	97		
T	2016-11-13 09:51:48	51.429968000	-2.741308000	18.0	0.050	97		
T	2016-11-13 09:51:49	51.429942000	-2.741364000	18.0	0.055	99		
T	2016-11-13 09:51:51	51.429882000	-2.741478000	18.0	0.065	102		
T	2016-11-13 09:51:58	51.429649000	-2.741907000	18.0	0.104	104		
T	2016-11-13 09:52:01	51.429668000	-2.742173000	18.0	0.124	105		
T	2016-11-13 09:52:03	51.429715000	-2.742316000	18.0	0.135	107		
T	2016-11-13 09:52:05	51.429755000	-2.742436000	18.0	0.145	108		
T	2016-11-13 09:52:06	51.429774000	-2.742500000	18.4	0.150	108		
T	2016-11-13 09:52:07	51.429794000	-2.742564000	18.8	0.155	109		
T	2016-11-13 09:52:08	51.429817000	-2.742617000	19.2	0.160	109		
T	2016-11-13 09:52:09	51.429842000	-2.742662000	19.6	0.164	110		
T	2016-11-13 09:52:10	51.429869000	-2.742699000	20.0	0.168	110		
T	2016-11-13 09:52:11	51.429900000	-2.742736000	20.0	0.172	112		
T	2016-11-13 09:52:12	51.429933000	-2.742777000	20.0	0.176	114		
T	2016-11-13 09:52:13	51.429967000	-2.742819000	20.6	0.181	115		
T	2016-11-13 09:52:14	51.430002000	-2.742855000	21.0	0.185	116		
T	2016-11-13 09:52:15	51.430038000	-2.742881000	21.4	0.190	116		
T	2016-11-13 09:52:16	51.430078000	-2.742912000	21.8	0.195	116		
T	2016-11-13 09:52:17	51.430121000	-2.742943000	22.2	0.200	116		
T	2016-11-13 09:52:20	51.430257000	-2.743037000	22.2	0.216	119		
T	2016-11-13 09:52:23	51.430398000	-2.743131000	22.2	0.232	120		
T	2016-11-13 09:52:27	51.430557000	-2.743306000	22.2	0.254	120		
T	2016-11-13 09:52:29	51.430614000	-2.743438000	22.2	0.265	121		
T	2016-11-13 09:52:33	51.430638000	-2.743763000	22.2	0.288	123		
T	2016-11-13 09:52:34	51.430632000	-2.743842000	22.2	0.294	123		
T	2016-11-13 09:52:36	51.430623000	-2.744001000	22.2	0.305	123		
T	2016-11-13 09:52:38	51.430649000	-2.744156000	22.6	0.316	123		
T	2016-11-13 09:52:39	51.430676000	-2.744226000	23.0	0.322	122		
T	2016-11-13 09:52:40	51.430714000	-2.744271000	23.6	0.327	122		
T	2016-11-13 09:52:41	51.430746000	-2.744325000	24.0	0.333	122		
T	2016-11-13 09:52:42	51.430758000	-2.744401000	24.4	0.338	122		
T	2016-11-13 09:52:43	51.430755000	-2.744475000	24.4	0.344	122		
T	2016-11-13 09:52:45	51.430711000	-2.744616000	24.4	0.355	128		
T	2016-11-13 09:52:46	51.430682000	-2.744685000	24.4	0.361	128		
T	2016-11-13 09:52:53	51.430455000	-2.745219000	24.4	0.406	125		
T	2016-11-13 09:52:56	51.430340000	-2.745448000	24.4	0.427	124		
T	2016-11-13 09:52:58	51.430246000	-2.745587000	24.4	0.441	125		
T	2016-11-13 09:53:04	51.429921000	-2.745924000	24.4	0.483	122		
T	2016-11-13 09:53:09	51.429593000	-2.746095000	24.4	0.520	121		
T	2016-11-13 09:53:16	51.429097000	-2.746274000	24.4	0.576	120		
T	2016-11-13 09:53:24	51.428596000	-2.746707000	24.4	0.640	121		
T	2016-11-13 09:53:29	51.428284000	-2.747014000	24.4	0.681	121		
T	2016-11-13 09:53:30	51.428219000	-2.747057000	24.4	0.689	122		
T	2016-11-13 09:53:33	51.428001000	-2.747157000	24.0	0.714	121		
T	2016-11-13 09:53:34	51.427926000	-2.747179000	23.6	0.723	122		
T	2016-11-13 09:53:35	51.427852000	-2.747197000	23.2	0.731	122		
T	2016-11-13 09:53:36	51.427776000	-2.747216000	22.6	0.740	123		
T	2016-11-13 09:53:37	51.427698000	-2.747238000	22.2	0.748	123		
T	2016-11-13 09:53:44	51.427157000	-2.747432000	22.2	0.810	121		
T	2016-11-13 09:53:45	51.427075000	-2.747480000	22.2	0.819	121		
T	2016-11-13 09:53:46	51.426991000	-2.747534000	21.6	0.829	121		
T	2016-11-13 09:53:47	51.426898000	-2.747591000	21.0	0.840	122		
T	2016-11-13 09:53:48	51.426804000	-2.747641000	20.4	0.851	122		
T	2016-11-13 09:53:49	51.426718000	-2.747679000	19.8	0.861	122		
T	2016-11-13 09:53:50	51.426641000	-2.747709000	19.2	0.871	122		
T	2016-11-13 09:53:53	51.426427000	-2.747808000	19.2	0.896	122		
T	2016-11-13 09:53:55	51.426289000	-2.747870000	19.6	0.912	122		
T	2016-11-13 09:53:56	51.426227000	-2.747904000	20.0	0.919	122		
T	2016-11-13 09:53:57	51.426164000	-2.747944000	20.6	0.927	122		
T	2016-11-13 09:53:58	51.426107000	-2.748002000	21.0	0.934	122		
T	2016-11-13 09:53:59	51.426054000	-2.748060000	21.4	0.942	123		
T	2016-11-13 09:54:00	51.426003000	-2.748115000	21.4	0.949	123		
T	2016-11-13 09:54:06	51.425723000	-2.748539000	21.8	0.992	125		
T	2016-11-13 09:54:07	51.425684000	-2.748617000	22.2	0.999	125		
T	2016-11-13 09:54:08	51.425647000	-2.748698000	22.8	1.006	126		
T	2016-11-13 09:54:09	51.425611000	-2.748782000	23.2	1.014	126		
T	2016-11-13 09:54:10	51.425575000	-2.748867000	23.6	1.021	127		
T	2016-11-13 09:54:12	51.425511000	-2.749042000	23.6	1.035	128		
T	2016-11-13 09:54:20	51.425273000	-2.749760000	23.6	1.091	131		
T	2016-11-13 09:54:27	51.425122000	-2.750386000	23.6	1.141	130		
T	2016-11-13 09:54:34	51.424973000	-2.751045000	23.6	1.190	127		
T	2016-11-13 09:54:36	51.424927000	-2.751198000	23.6	1.203	125		
T	2016-11-13 09:54:38	51.424891000	-2.751293000	23.6	1.211	123		
T	2016-11-13 09:54:43	51.425044000	-2.751524000	23.6	1.235	122		
T	2016-11-13 09:54:46	51.425198000	-2.751606000	23.6	1.253	122		
T	2016-11-13 09:54:48	51.425231000	-2.751788000	23.6	1.266	122		
T	2016-11-13 09:54:51	51.425169000	-2.752066000	23.6	1.285	122		
T	2016-11-13 09:54:52	51.425143000	-2.752171000	23.6	1.292	122		
T	2016-11-13 09:54:58	51.424989000	-2.752817000	23.6	1.338	124		
T	2016-11-13 09:55:02	51.424881000	-2.753269000	23.6	1.371	121		
T	2016-11-13 09:55:05	51.424809000	-2.753608000	23.6	1.396	117		
T	2016-11-13 09:55:06	51.424763000	-2.753703000	23.6	1.404	116		
T	2016-11-13 09:55:08	51.424630000	-2.753709000	23.6	1.419	115		
T	2016-11-13 09:55:10	51.424498000	-2.753639000	23.6	1.434	114		
T	2016-11-13 09:55:11	51.424424000	-2.753610000	23.6	1.442	115		
T	2016-11-13 09:55:14	51.424202000	-2.753559000	23.6	1.466	118		
T	2016-11-13 09:55:16	51.424045000	-2.753555000	23.2	1.482	121		
T	2016-11-13 09:55:17	51.423967000	-2.753569000	22.2	1.490	122		
T	2016-11-13 09:55:18	51.423897000	-2.753639000	22.2	1.499	122		
T	2016-11-13 09:55:19	51.423829000	-2.753689000	21.8	1.507	123		
T	2016-11-13 09:55:20	51.423769000	-2.753763000	21.2	1.516	123		
T	2016-11-13 09:55:21	51.423717000	-2.753844000	21.2	1.524	124		
T	2016-11-13 09:55:24	51.423634000	-2.754120000	21.2	1.547	124		
T	2016-11-13 09:55:25	51.423627000	-2.754208000	21.6	1.553	124		
T	2016-11-13 09:55:26	51.423618000	-2.754290000	22.0	1.560	124		
T	2016-11-13 09:55:27	51.423611000	-2.754369000	22.6	1.566	124		
T	2016-11-13 09:55:28	51.423604000	-2.754449000	23.0	1.572	124		
T	2016-11-13 09:55:29	51.423598000	-2.754522000	23.4	1.577	125		
T	2016-11-13 09:55:31	51.423586000	-2.754660000	23.8	1.587	126		
T	2016-11-13 09:55:32	51.423584000	-2.754732000	24.2	1.592	127		
T	2016-11-13 09:55:33	51.423583000	-2.754805000	24.6	1.598	127		
T	2016-11-13 09:55:34	51.423581000	-2.754884000	25.0	1.603	127		
T	2016-11-13 09:55:35	51.423581000	-2.754962000	25.6	1.608	127		
T	2016-11-13 09:55:36	51.423580000	-2.755043000	25.6	1.613	127		
T	2016-11-13 09:55:39	51.423575000	-2.755296000	25.6	1.631	130		
T	2016-11-13 09:55:44	51.423590000	-2.755763000	25.6	1.662	130		
T	2016-11-13 09:55:51	51.423659000	-2.756493000	25.6	1.713	131		
T	2016-11-13 09:55:57	51.423742000	-2.757001000	26.0	1.751	132		
T	2016-11-13 09:55:58	51.423758000	-2.757082000	26.4	1.757	132		
T	2016-11-13 09:55:59	51.423773000	-2.757155000	26.8	1.762	132		
T	2016-11-13 09:56:00	51.423787000	-2.757222000	27.2	1.767	133		
T	2016-11-13 09:56:01	51.423804000	-2.757290000	27.6	1.772	133		
T	2016-11-13 09:56:03	51.423837000	-2.757422000	28.0	1.783	134		
T	2016-11-13 09:56:04	51.423853000	-2.757484000	28.4	1.788	134		
T	2016-11-13 09:56:05	51.423869000	-2.757546000	29.0	1.792	135		
T	2016-11-13 09:56:06	51.423885000	-2.757606000	29.4	1.797	135		
T	2016-11-13 09:56:07	51.423902000	-2.757667000	29.8	1.802	135		
T	2016-11-13 09:56:11	51.423963000	-2.757903000	29.8	1.820	138		
T	2016-11-13 09:56:14	51.424010000	-2.758082000	30.2	1.834	138		
T	2016-11-13 09:56:15	51.424025000	-2.758142000	30.6	1.838	137		
T	2016-11-13 09:56:16	51.424041000	-2.758198000	31.0	1.843	137		
T	2016-11-13 09:56:17	51.424059000	-2.758253000	31.4	1.847	137		
T	2016-11-13 09:56:18	51.424076000	-2.758311000	31.8	1.852	137		
T	2016-11-13 09:56:24	51.424170000	-2.758658000	32.2	1.879	138		
T	2016-11-13 09:56:25	51.424186000	-2.758718000	32.6	1.883	138		
T	2016-11-13 09:56:26	51.424202000	-2.758775000	33.2	1.888	138		
T	2016-11-13 09:56:27	51.424220000	-2.758836000	33.6	1.893	138		
T	2016-11-13 09:56:28	51.424237000	-2.758898000	34.0	1.897	138		
T	2016-11-13 09:56:34	51.424324000	-2.759269000	34.4	1.925	139		
T	2016-11-13 09:56:35	51.424338000	-2.759334000	35.0	1.929	139		
T	2016-11-13 09:56:36	51.424353000	-2.759400000	35.4	1.934	139		
T	2016-11-13 09:56:37	51.424367000	-2.759468000	35.8	1.939	139		
T	2016-11-13 09:56:38	51.424380000	-2.759541000	36.2	1.944	139		
T	2016-11-13 09:56:39	51.424396000	-2.759611000	36.2	1.949	139		
T	2016-11-13 09:56:48	51.424526000	-2.760319000	36.2	1.999	138		
T	2016-11-13 09:56:55	51.424653000	-2.761022000	36.2	2.048	137		
T	2016-11-13 09:56:58	51.424715000	-2.761352000	36.2	2.072	134		
T	2016-11-13 09:57:00	51.424761000	-2.761574000	35.8	2.088	133		
T	2016-11-13 09:57:01	51.424786000	-2.761689000	35.4	2.096	133		
T	2016-11-13 09:57:02	51.424813000	-2.761803000	34.8	2.105	133		
T	2016-11-13 09:57:03	51.424843000	-2.761915000	34.4	2.113	132		
T	2016-11-13 09:57:04	51.424878000	-2.762028000	34.0	2.122	132		
T	2016-11-13 09:57:09	51.425091000	-2.762542000	34.0	2.165	128		
T	2016-11-13 09:57:10	51.425138000	-2.762629000	34.0	2.173	127		
T	2016-11-13 09:57:13	51.425228000	-2.762926000	34.0	2.198	124		
T	2016-11-13 09:57:14	51.425200000	-2.763036000	34.0	2.206	122		
T	2016-11-13 09:57:17	51.425081000	-2.763362000	33.6	2.232	121		
T	2016-11-13 09:57:18	51.425059000	-2.763494000	33.2	2.241	121		
T	2016-11-13 09:57:19	51.425044000	-2.763639000	32.8	2.251	121		
T	2016-11-13 09:57:20	51.425055000	-2.763783000	32.4	2.260	121		
T	2016-11-13 09:57:21	51.425074000	-2.763924000	31.8	2.270	122		
T	2016-11-13 09:57:22	51.425102000	-2.764066000	31.2	2.280	122		
T	2016-11-13 09:57:23	51.425138000	-2.764196000	30.8	2.290	122		
T	2016-11-13 09:57:24	51.425171000	-2.764320000	30.2	2.299	122		
T	2016-11-13 09:57:25	51.425213000	-2.764448000	29.6	2.309	121		
T	2016-11-13 09:57:28	51.425308000	-2.764807000	29.6	2.337	121		
T	2016-11-13 09:57:35	51.425517000	-2.765655000	29.6	2.401	123		
T	2016-11-13 09:57:40	51.425547000	-2.766279000	29.6	2.444	126		
T	2016-11-13 09:57:41	51.425538000	-2.766399000	29.6	2.453	127		
T	2016-11-13 09:57:47	51.425457000	-2.767093000	29.6	2.502	129		
T	2016-11-13 09:57:49	51.425441000	-2.767310000	30.0	2.518	130		
T	2016-11-13 09:57:50	51.425429000	-2.767420000	30.4	2.526	131		
T	2016-11-13 09:57:51	51.425415000	-2.767530000	30.8	2.534	131		
T	2016-11-13 09:57:52	51.425402000	-2.767635000	31.2	2.541	132		
T	2016-11-13 09:57:53	51.425388000	-2.767740000	31.6	2.549	132		
T	2016-11-13 09:58:01	51.425246000	-2.768502000	32.0	2.607	132		
T	2016-11-13 09:58:02	51.425223000	-2.768593000	32.4	2.614	132		
T	2016-11-13 09:58:03	51.425203000	-2.768692000	32.8	2.621	133		
T	2016-11-13 09:58:04	51.425180000	-2.768791000	33.2	2.628	133		
T	2016-11-13 09:58:05	51.425154000	-2.768893000	33.6	2.635	133		
T	2016-11-13 09:58:10	51.425038000	-2.769392000	33.6	2.672	134		
T	2016-11-13 09:58:15	51.425020000	-2.769956000	33.6	2.711	133		
T	2016-11-13 09:58:21	51.424855000	-2.770551000	33.6	2.757	135		
T	2016-11-13 09:58:26	51.424597000	-2.770932000	33.6	2.796	135		
T	2016-11-13 09:58:32	51.424266000	-2.771327000	33.6	2.841	136		
T	2016-11-13 09:58:39	51.423894000	-2.771788000	33.6	2.894	136		
T	2016-11-13 09:58:48	51.423515000	-2.772518000	33.6	2.961	137		
T	2016-11-13 09:58:49	51.423488000	-2.772622000	33.6	2.968	137		
T	2016-11-13 09:58:52	51.423392000	-2.772890000	33.6	2.990	138		
T	2016-11-13 09:58:59	51.423157000	-2.773574000	33.6	3.044	138		
T	2016-11-13 09:59:07	51.422854000	-2.774395000	33.6	3.109	136		
T	2016-11-13 09:59:08	51.422803000	-2.774490000	33.6	3.118	136		
T	2016-11-13 09:59:16	51.422366000	-2.775122000	33.6	3.184	135		
T	2016-11-13 09:59:23	51.421938000	-2.775597000	33.6	3.242	135		
T	2016-11-13 09:59:31	51.421465000	-2.776222000	33.2	3.309	132		
T	2016-11-13 09:59:32	51.421407000	-2.776317000	32.8	3.319	132		
T	2016-11-13 09:59:33	51.421354000	-2.776412000	32.4	3.328	132		
T	2016-11-13 09:59:34	51.421297000	-2.776514000	32.0	3.337	131		
T	2016-11-13 09:59:35	51.421241000	-2.776622000	31.6	3.346	131		
T	2016-11-13 09:59:38	51.421058000	-2.776936000	31.6	3.376	129		
T	2016-11-13 09:59:39	51.420990000	-2.777027000	31.0	3.385	130		
T	2016-11-13 09:59:40	51.420921000	-2.777114000	30.6	3.396	130		
T	2016-11-13 09:59:41	51.420848000	-2.777201000	30.0	3.405	130		
T	2016-11-13 09:59:42	51.420770000	-2.777286000	29.4	3.415	131		
T	2016-11-13 09:59:43	51.420689000	-2.777368000	28.8	3.426	131		
T	2016-11-13 09:59:44	51.420607000	-2.777441000	28.8	3.436	130		
T	2016-11-13 09:59:45	51.420512000	-2.777492000	28.4	3.446	130		
T	2016-11-13 09:59:46	51.420417000	-2.777532000	27.8	3.458	129		
T	2016-11-13 09:59:47	51.420310000	-2.777550000	27.4	3.469	129		
T	2016-11-13 09:59:48	51.420198000	-2.777557000	26.6	3.481	128		
T	2016-11-13 09:59:49	51.420081000	-2.777565000	26.0	3.493	127		
T	2016-11-13 09:59:50	51.419973000	-2.777565000	25.2	3.506	126		
T	2016-11-13 09:59:51	51.419863000	-2.777570000	24.4	3.518	125		
T	2016-11-13 09:59:52	51.419755000	-2.777571000	23.8	3.530	124		
T	2016-11-13 09:59:53	51.419651000	-2.777580000	23.4	3.542	123		
T	2016-11-13 09:59:54	51.419546000	-2.777589000	22.8	3.553	122		
T	2016-11-13 09:59:55	51.419440000	-2.777597000	22.4	3.565	122		
T	2016-11-13 09:59:56	51.419337000	-2.777606000	22.0	3.577	123		
T	2016-11-13 09:59:57	51.419234000	-2.777616000	21.4	3.588	124		
T	2016-11-13 09:59:59	51.419042000	-2.777637000	21.4	3.610	125		
T	2016-11-13 10:00:00	51.418948000	-2.777674000	21.4	3.621	125		
T	2016-11-13 10:00:02	51.418772000	-2.777777000	21.4	3.642	126		
T	2016-11-13 10:00:05	51.418523000	-2.777869000	21.4	3.672	128		
T	2016-11-13 10:00:07	51.418361000	-2.777825000	21.4	3.691	130		
T	2016-11-13 10:00:10	51.418157000	-2.777627000	21.4	3.717	133		
T	2016-11-13 10:00:11	51.418088000	-2.777555000	21.4	3.726	133		
T	2016-11-13 10:00:16	51.417696000	-2.777314000	21.4	3.772	133		
T	2016-11-13 10:00:19	51.417447000	-2.777211000	21.0	3.800	132		
T	2016-11-13 10:00:20	51.417363000	-2.777165000	20.6	3.810	133		
T	2016-11-13 10:00:21	51.417279000	-2.777113000	20.2	3.820	133		
T	2016-11-13 10:00:22	51.417192000	-2.777049000	19.6	3.830	133		
T	2016-11-13 10:00:23	51.417102000	-2.776976000	19.6	3.840	133		
T	2016-11-13 10:00:24	51.417018000	-2.776913000	19.2	3.851	133		
T	2016-11-13 10:00:25	51.416936000	-2.776851000	18.6	3.862	132		
T	2016-11-13 10:00:26	51.416851000	-2.776778000	18.0	3.872	132		
T	2016-11-13 10:00:27	51.416777000	-2.776704000	17.6	3.883	131		
T	2016-11-13 10:00:28	51.416698000	-2.776635000	17.0	3.893	130		
T	2016-11-13 10:00:30	51.416541000	-2.776531000	17.0	3.912	130		
T	2016-11-13 10:00:31	51.416451000	-2.776520000	17.0	3.922	131		
T	2016-11-13 10:00:33	51.416291000	-2.776548000	17.0	3.941	132		
T	2016-11-13 10:00:36	51.416078000	-2.776702000	17.0	3.966	132		
T	2016-11-13 10:00:44	51.415532000	-2.777144000	17.0	4.033	134		
T	2016-11-13 10:00:50	51.415159000	-2.777551000	17.0	4.083	137		
T	2016-11-13 10:00:51	51.415104000	-2.777627000	17.4	4.091	137		
T	2016-11-13 10:00:52	51.415049000	-2.777700000	17.8	4.099	137		
T	2016-11-13 10:00:53	51.414993000	-2.777770000	18.2	4.107	138		
T	2016-11-13 10:00:54	51.414937000	-2.777840000	18.8	4.115	138		
T	2016-11-13 10:00:55	51.414881000	-2.777908000	19.2	4.123	138		
T	2016-11-13 10:01:02	51.414478000	-2.778301000	19.2	4.176	140		
T	2016-11-13 10:01:04	51.414361000	-2.778398000	19.2	4.191	140		
T	2016-11-13 10:01:06	51.414239000	-2.778378000	19.2	4.205	140		
T	2016-11-13 10:01:09	51.414062000	-2.778215000	19.2	4.228	140		
T	2016-11-13 10:01:15	51.413707000	-2.777763000	19.2	4.277	140		
T	2016-11-13 10:01:18	51.413515000	-2.777441000	18.6	4.307	138		
T	2016-11-13 10:01:19	51.413453000	-2.777337000	18.2	4.318	138		
T	2016-11-13 10:01:20	51.413379000	-2.777218000	17.4	4.329	137		
T	2016-11-13 10:01:21	51.413300000	-2.777096000	16.6	4.340	137		
T	2016-11-13 10:01:22	51.413229000	-2.776981000	15.8	4.352	136		
T	2016-11-13 10:01:23	51.413152000	-2.776861000	15.0	4.364	135		
T	2016-11-13 10:01:24	51.413065000	-2.776752000	14.4	4.376	135		
T	2016-11-13 10:01:25	51.412974000	-2.776650000	13.6	4.388	134		
T	2016-11-13 10:01:26	51.412884000	-2.776548000	12.8	4.400	134		
T	2016-11-13 10:01:27	51.412795000	-2.776448000	12.2	4.412	134		
T	2016-11-13 10:01:32	51.412393000	-2.776026000	11.8	4.467	132		
T	2016-11-13 10:01:33	51.412312000	-2.775957000	11.4	4.478	131		
T	2016-11-13 10:01:34	51.412235000	-2.775865000	10.8	4.488	130		
T	2016-11-13 10:01:35	51.412175000	-2.775747000	10.4	4.499	128		
T	2016-11-13 10:01:36	51.412132000	-2.775620000	10.0	4.509	126		
T	2016-11-13 10:01:39	51.412123000	-2.775170000	10.0	4.540	124		
T	2016-11-13 10:01:40	51.412127000	-2.775018000	10.0	4.551	125		
T	2016-11-13 10:01:41	51.412126000	-2.774872000	9.6	4.561	126		
T	2016-11-13 10:01:42	51.412126000	-2.774722000	9.2	4.571	127		
T	2016-11-13 10:01:43	51.412134000	-2.774581000	8.8	4.581	128		
T	2016-11-13 10:01:44	51.412142000	-2.774445000	8.2	4.591	128		
T	2016-11-13 10:01:45	51.412146000	-2.774310000	7.8	4.600	129		
T	2016-11-13 10:01:48	51.412170000	-2.773942000	8.2	4.627	131		
T	2016-11-13 10:01:50	51.412181000	-2.773723000	8.8	4.642	132		
T	2016-11-13 10:01:51	51.412180000	-2.773627000	9.2	4.649	133		
T	2016-11-13 10:01:52	51.412177000	-2.773536000	9.6	4.656	133		
T	2016-11-13 10:01:53	51.412180000	-2.773443000	10.0	4.663	133		
T	2016-11-13 10:01:54	51.412177000	-2.773360000	10.4	4.669	133		
T	2016-11-13 10:01:55	51.412165000	-2.773290000	11.0	4.675	134		
T	2016-11-13 10:01:56	51.412146000	-2.773222000	11.4	4.680	134		
T	2016-11-13 10:01:57	51.412119000	-2.773155000	11.8	4.686	135		
T	2016-11-13 10:01:58	51.412085000	-2.773101000	12.4	4.692	135		
T	2016-11-13 10:02:01	51.411961000	-2.772972000	12.8	4.708	136		
T	2016-11-13 10:02:02	51.411926000	-2.772944000	13.2	4.713	137		
T	2016-11-13 10:02:03	51.411886000	-2.772906000	13.6	4.718	137		
T	2016-11-13 10:02:04	51.411845000	-2.772870000	14.0	4.723	137		
T	2016-11-13 10:02:05	51.411799000	-2.772821000	14.4	4.728	137		
T	2016-11-13 10:02:07	51.411703000	-2.772699000	14.4	4.741	138		
T	2016-11-13 10:02:08	51.411656000	-2.772619000	14.4	4.748	138		
T	2016-11-13 10:02:11	51.411539000	-2.772309000	14.0	4.773	138		
T	2016-11-13 10:02:12	51.411511000	-2.772182000	13.6	4.782	138		
T	2016-11-13 10:02:13	51.411480000	-2.772057000	13.2	4.792	138		
T	2016-11-13 10:02:14	51.411451000	-2.771933000	12.6	4.801	139		
T	2016-11-13 10:02:15	51.411425000	-2.771794000	12.0	4.811	139		
T	2016-11-13 10:02:16	51.411395000	-2.771644000	11.4	4.821	139		
T	2016-11-13 10:02:17	51.411365000	-2.771501000	11.0	4.831	138		
T	2016-11-13 10:02:18	51.411338000	-2.771351000	10.4	4.842	138		
T	2016-11-13 10:02:19	51.411312000	-2.771198000	9.8	4.852	136		
T	2016-11-13 10:02:20	51.411283000	-2.771041000	9.4	4.863	135		
T	2016-11-13 10:02:21	51.411267000	-2.770896000	8.8	4.874	134		
T	2016-11-13 10:02:22	51.411248000	-2.770749000	8.2	4.885	133		
T	2016-11-13 10:02:23	51.411230000	-2.770609000	8.2	4.895	132		
T	2016-11-13 10:02:26	51.411171000	-2.770205000	8.2	4.925	128		
T	2016-11-13 10:02:30	51.411103000	-2.769700000	8.2	4.961	127		
T	2016-11-13 10:02:34	51.411069000	-2.769247000	8.2	4.993	128		
T	2016-11-13 10:02:36	51.411091000	-2.769072000	8.2	5.008	129		
T	2016-11-13 10:02:37	51.411122000	-2.768999000	8.6	5.015	130		
T	2016-11-13 10:02:38	51.411151000	-2.768919000	9.0	5.022	130		
T	2016-11-13 10:02:39	51.411181000	-2.768854000	9.6	5.028	131		
T	2016-11-13 10:02:40	51.411218000	-2.768780000	10.0	5.035	131		
T	2016-11-13 10:02:41	51.411256000	-2.768711000	10.4	5.042	132		
T	2016-11-13 10:02:42	51.411297000	-2.768633000	10.4	5.048	132		
T	2016-11-13 10:02:45	51.411413000	-2.768383000	10.4	5.070	134		
T	2016-11-13 10:02:46	51.411449000	-2.768281000	10.4	5.077	134		
T	2016-11-13 10:02:50	51.411513000	-2.767823000	10.4	5.109	135		
T	2016-11-13 10:02:54	51.411481000	-2.767374000	10.4	5.140	135		
T	2016-11-13 10:02:55	51.411469000	-2.767267000	10.4	5.148	135		
T	2016-11-13 10:02:58	51.411436000	-2.766945000	10.4	5.171	134		
T	2016-11-13 10:03:01	51.411440000	-2.766635000	10.4	5.192	133		
T	2016-11-13 10:03:08	51.411420000	-2.765908000	10.4	5.242	134		
T	2016-11-13 10:03:10	51.411395000	-2.765720000	10.8	5.256	134		
T	2016-11-13 10:03:11	51.411378000	-2.765630000	11.4	5.262	133		
T	2016-11-13 10:03:12	51.411358000	-2.765537000	11.8	5.269	133		
T	2016-11-13 10:03:13	51.411339000	-2.765459000	12.2	5.275	132		
T	2016-11-13 10:03:14	51.411302000	-2.765391000	12.8	5.281	131		
T	2016-11-13 10:03:17	51.411134000	-2.765349000	12.8	5.299	131		
T	2016-11-13 10:03:19	51.411002000	-2.765419000	12.8	5.313	131		
T	2016-11-13 10:03:20	51.410935000	-2.765444000	12.8	5.321	130		
T	2016-11-13 10:03:22	51.410779000	-2.765486000	12.2	5.338	130		
T	2016-11-13 10:03:23	51.410697000	-2.765504000	11.8	5.347	130		
T	2016-11-13 10:03:24	51.410612000	-2.765524000	11.2	5.356	130		
T	2016-11-13 10:03:25	51.410524000	-2.765549000	10.8	5.366	131		
T	2016-11-13 10:03:26	51.410438000	-2.765581000	10.2	5.376	131		
T	2016-11-13 10:03:27	51.410350000	-2.765620000	9.8	5.386	131		
T	2016-11-13 10:03:28	51.410268000	-2.765671000	9.2	5.396	131		
T	2016-11-13 10:03:29	51.410191000	-2.765732000	8.6	5.406	131		
T	2016-11-13 10:03:30	51.410111000	-2.765801000	8.2	5.415	131		
T	2016-11-13 10:03:33	51.409874000	-2.765977000	8.2	5.445	131		
T	2016-11-13 10:03:38	51.409492000	-2.766189000	8.2	5.491	130		
T	2016-11-13 10:03:39	51.409413000	-2.766201000	8.2	5.500	130		
T	2016-11-13 10:03:43	51.409137000	-2.766159000	8.2	5.533	130		
T	2016-11-13 10:03:44	51.409083000	-2.766124000	8.2	5.540	130		
T	2016-11-13 10:03:45	51.409024000	-2.766064000	8.6	5.548	131		
T	2016-11-13 10:03:46	51.408968000	-2.766016000	9.0	5.555	131		
T	2016-11-13 10:03:47	51.408918000	-2.765970000	9.4	5.562	131		
T	2016-11-13 10:03:48	51.408869000	-2.765911000	9.8	5.569	131		
T	2016-11-13 10:03:49	51.408824000	-2.765847000	10.2	5.576	131		
T	2016-11-13 10:03:52	51.408700000	-2.765665000	10.2	5.596	132		
T	2016-11-13 10:03:57	51.408507000	-2.765380000	10.2	5.628	133		
T	2016-11-13 10:04:02	51.408305000	-2.765075000	10.2	5.660	134		
T	2016-11-13 10:04:05	51.408208000	-2.764885000	10.2	5.680	137		
T	2016-11-13 10:04:07	51.408138000	-2.764757000	10.8	5.693	137		
T	2016-11-13 10:04:08	51.408094000	-2.764692000	11.2	5.699	137		
T	2016-11-13 10:04:09	51.408048000	-2.764632000	11.6	5.706	137		
T	2016-11-13 10:04:10	51.408005000	-2.764577000	12.0	5.712	136		
T	2016-11-13 10:04:11	51.407956000	-2.764517000	12.4	5.719	136		
